Elections au Conseil national de 1991: force des partis par canton,,,,,,,,,,,,,,,,,,,,,,,,T 17.2.3.3.2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'  ','  'PRD,'  'PDC,'  'PS,'  'UDC,'  'PLS,'  'AdI,'  'PEV,'  'PCS,'  'PVL,'  'PBD,'  'PST,'  'PSA,'  'POCH,'  'PES,'  'AVF,'  'Sol.,'  'Rép.,'  'DS,'  'UDF,'  'PSL,'  'Lega,'  ','  'Autres,'  'Total,,,,,
Bâle-Ville,15.8 ,10.4 ,25.3 ,2.0 ,13.3 ,7.4 ,3.3 ,- ,,,1.4 ,- ,7.8 ,4.4 ,- ,,,3.2 ,0.9 ,- ,- ,,4.8 ,100 ,,,,,
Bâle-Campagne,24.8 ,11.6 ,24.4 ,12.3 ,- ,- ,2.6 ,- ,,,- ,- ,- ,11.0 ,- ,,,9.1 ,- ,4.3 ,- ,,- ,100 ,,,,,
Schaffhouse,28.6 ,- ,34.2 ,19.2 ,- ,- ,- ,- ,,,- ,- ,- ,- ,3.9 ,,,- ,2.7 ,11.4 ,- ,,- ,100 ,,,,,
Appenzell Rh.-Ext.,30.8 ,16.7 ,- ,- ,- ,- ,- ,- ,,,- ,- ,- ,- ,- ,,,- ,- ,15.8 ,- ,,36.7 ,100 ,,,,,
Appenzell Rh.-Int.,- ,98.7 ,- ,- ,- ,- ,- ,- ,,,- ,- ,- ,- ,- ,,,- ,- ,- ,- ,,1.3 ,100 ,,,,,
Saint-Gall,20.0 ,35.8 ,13.1 ,- ,- ,9.3 ,- ,- ,,,- ,- ,- ,6.2 ,- ,,,3.1 ,,12.6 ,- ,,- ,100 ,,,,,
Grisons,18.1 ,25.6 ,21.2 ,19.5 ,- ,- ,- ,6.9 ,,,- ,- ,- ,- ,4.3 ,,,- ,- ,- ,- ,,4.4 ,100 ,,,,,
Argovie,16.4 ,14.5 ,17.4 ,17.9 ,- ,4.3 ,3.3 ,- ,,,- ,- ,- ,6.8 ,- ,,,4.5 ,1.4 ,13.2 ,- ,,0.4 ,100 ,,,,,
Thurgovie,16.5 ,16.5 ,15.1 ,23.7 ,- ,3.3 ,3.2 ,- ,,,- ,- ,- ,9.0 ,- ,,,3.5 ,- ,8.7 ,- ,,0.5 ,100 ,,,,,
Tessin,29.4 ,26.9 ,6.7 ,1.0 ,- ,- ,- ,- ,,,0.7 ,10.0 ,- ,1.0 ,- ,,,- ,- ,- ,23.5 ,,0.8 ,100 ,,,,,
Vaud,26.4 ,3.6 ,22.9 ,7.3 ,17.6 ,0.9 ,- ,- ,,,4.2 ,- ,- ,6.3 ,3.6 ,,,2.9 ,- ,2.5 ,- ,,1.9 ,100 ,,,,,
Valais,25.9 ,54.3 ,14.5 ,- ,3.9 ,- ,- ,- ,,,- ,- ,- ,1.3 ,- ,,,,- ,- ,- ,,- ,100 ,,,,,
Neuchâtel,22.5 ,- ,29.8 ,- ,27.1 ,- ,- ,- ,,,5.2 ,- ,- ,8.0 ,- ,,,6.4 ,- ,- ,- ,,1.1 ,100 ,,,,,
Genève,12.8 ,14.5 ,26.4 ,1.1 ,22.1 ,- ,- ,- ,,,7.8 ,- ,- ,6.7 ,- ,,,2.0 ,- ,3.0 ,- ,,3.4 ,100 ,,,,,
Jura,35.1 ,36.0 ,28.8 ,- ,- ,- ,- ,- ,,,- ,- ,- ,- ,- ,,,- ,- ,- ,- ,,- ,100 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voir le glossaire pour les désignations complètes des partis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Office fédéral de la statistique, Statistique des élections au Conseil national",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renseignements:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poku@bfs.admin.ch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
058 463 61 58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© OFS - Encyclopédie statistique de la Suisse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
