Elections au Conseil national de 1999: force des partis par canton,,,,,,,,,,,,,,,,,,,,,,,,T 17.2.3.3.2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'  ','  'PRD,'  'PDC,'  'PS,'  'UDC,'  'PLS,'  'AdI,'  'PEV,'  'PCS,'  'PVL,'  'PBD,'  'PST,'  'PSA,'  'POCH,'  'PES,'  'AVF,'  'Sol.,'  'Rép.,'  'DS,'  'UDF,'  'PSL,'  'Lega,'  ','  'Autres,'  'Total,,,,,
Bâle-Campagne,22.1 ,12.0 ,23.3 ,18.0 ,- ,- ,2.4 ,- ,,,- ,,,9.2 ,- ,- ,,10.1 ,- ,0.3 ,- ,,2.5 ,100 ,,,,,
Schaffhouse,40.4 ,- ,33.6 ,26.0 ,- ,- ,- ,- ,,,- ,,,- ,- ,- ,,- ,- ,- ,- ,,- ,100 ,,,,,
Appenzell Rh.-Ext.,32.8 ,- ,29.6 ,37.5 ,- ,- ,- ,- ,,,- ,,,- ,- ,- ,,- ,- ,- ,- ,,- ,100 ,,,,,
Appenzell Rh.-Int.,- ,73.5 ,- ,25.7 ,- ,- ,- ,- ,,,- ,,,- ,- ,- ,,- ,- ,- ,- ,,0.7 ,100 ,,,,,
Saint-Gall,16.9 ,26.2 ,17.1 ,27.6 ,- ,1.9 ,1.3 ,- ,,,- ,,,4.0 ,- ,- ,,1.4 ,1.0 ,1.0 ,- ,,1.8 ,100 ,,,,,
Grisons,15.1 ,25.6 ,26.6 ,27.0 ,- ,- ,- ,- ,,,- ,,,,- ,- ,,- ,- ,- ,- ,,5.8 ,100 ,,,,,
Argovie,17.2 ,16.3 ,18.7 ,31.8 ,- ,2.0 ,3.8 ,- ,,,- ,,,4.4 ,- ,- ,,2.7 ,1.4 ,1.4 ,- ,,0.1 ,100 ,,,,,
Thurgovie,14.7 ,15.7 ,16.1 ,33.2 ,- ,- ,2.8 ,- ,,,- ,,,6.2 ,- ,- ,,2.5 ,1.9 ,2.7 ,- ,,4.3 ,100 ,,,,,
Tessin,27.7 ,25.9 ,18.8 ,5.3 ,- ,- ,0.2 ,- ,,,1.3 ,,,1.4 ,- ,- ,,- ,- ,- ,18.5 ,,0.9 ,100 ,,,,,
Vaud,25.0 ,4.5 ,22.4 ,10.7 ,12.6 ,- ,- ,- ,,,7.8 ,,,7.1 ,- ,2.1 ,,0.9 ,2.7 ,- ,- ,,4.2 ,100 ,,,,,
Valais,18.8 ,51.4 ,16.9 ,9.0 ,1.8 ,- ,- ,- ,,,- ,,,2.1 ,- ,- ,,- ,- ,- ,- ,,- ,100 ,,,,,
Neuchâtel,20.5 ,- ,28.0 ,- ,24.0 ,- ,- ,- ,,,6.9 ,,,14.7 ,- ,2.7 ,,2.3 ,- ,- ,- ,,1.0 ,100 ,,,,,
Genève,12.7 ,14.1 ,20.0 ,7.5 ,18.5 ,- ,- ,- ,,,8.7 ,,,8.2 ,- ,8.0 ,,- ,- ,- ,- ,,2.3 ,100 ,,,,,
Jura,19.5 ,39.2 ,34.2 ,7.2 ,- ,- ,- ,- ,,,- ,,,- ,- ,- ,,- ,- ,- ,- ,,- ,100 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voir le glossaire pour les désignations complètes des partis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1) Election tacite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Office fédéral de la statistique, Statistique des élections au Conseil national",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renseignements:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poku@bfs.admin.ch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
058 463 61 58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© OFS - Encyclopédie statistique de la Suisse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
