Elections au Conseil national de 1987: force des partis par canton,,,,,,,,,,,,,,,,,,,,,,,,T 17.2.3.3.2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'  ','  'PRD,'  'PDC,'  'PS,'  'UDC,'  'PLS,'  'AdI,'  'PEV,'  'PCS,'  'PVL,'  'PBD,'  'PST,'  'PSA,'  'POCH,'  'PES,'  'AVF,'  'Sol.,'  'DS,'  'Rép.,'  'UDF,'  'PSL,'  'Lega,'  ','  'Autres,'  'Total,,,,,
Bâle-Ville,11.2 ,10.0 ,25.9 ,- ,12.3 ,9.4 ,4.5 ,- ,,,1.9 ,- ,9.4 ,1.1 ,3.3 ,,4.5 ,- ,- ,- ,,,6.5 ,100 ,,,,,
Bâle-Campagne,22.0 ,12.3 ,22.8 ,12.0 ,- ,2.7 ,3.2 ,- ,,,- ,- ,7.4 ,6.9 ,2.0 ,,6.2 ,- ,- ,2.6 ,,,- ,100 ,,,,,
Schaffhouse,34.3 ,- ,39.2 ,23.5 ,- ,- ,- ,- ,,,- ,- ,- ,- ,- ,,- ,- ,3.0 ,- ,,,- ,100 ,,,,,
Appenzell Rh.-Ext. 1),*,*,*,*,*,*,*,*,,,*,*,*,*,*,,*,*,*,*,,,*,*,,,,,
Appenzell Rh.-Int.,- ,91.8 ,- ,- ,- ,- ,- ,- ,,,- ,- ,- ,- ,- ,,- ,- ,- ,- ,,,8.2 ,100 ,,,,,
Saint-Gall,24.0 ,39.4 ,11.4 ,- ,- ,10.1 ,2.3 ,- ,,,- ,- ,- ,- ,5.3 ,,2.1 ,- ,- ,5.1 ,,,0.2 ,100 ,,,,,
Grisons,18.3 ,28.5 ,19.5 ,20.0 ,- ,- ,- ,- ,,,- ,- ,- ,- ,6.0 ,,- ,- ,- ,- ,,,7.7 ,100 ,,,,,
Argovie,20.3 ,18.9 ,18.5 ,15.7 ,- ,4.7 ,3.4 ,- ,,,- ,- ,- ,- ,6.9 ,,4.5 ,- ,1.0 ,5.3 ,,,0.9 ,100 ,,,,,
Thurgovie,18.5 ,20.4 ,13.4 ,21.7 ,- ,2.6 ,- ,- ,,,- ,- ,0.2 ,10.8 ,- ,,- ,- ,- ,6.4 ,,,6.0 ,100 ,,,,,
Tessin,34.8 ,38.2 ,9.3 ,1.3 ,- ,- ,- ,- ,,,1.2 ,11.0 ,- ,1.9 ,0.9 ,,- ,- ,- ,- ,,,1.4 ,100 ,,,,,
Vaud,27.6 ,4.1 ,22.5 ,6.2 ,17.4 ,- ,- ,- ,,,3.5 ,- ,- ,8.4 ,3.7 ,,2.8 ,- ,1.1 ,- ,,,2.8 ,100 ,,,,,
Valais,24.6 ,58.7 ,14.5 ,- ,- ,- ,- ,- ,,,- ,- ,- ,1.7 ,- ,,- ,- ,- ,- ,,,0.6 ,100 ,,,,,
Neuchâtel,20.4 ,- ,30.8 ,- ,30.0 ,- ,- ,- ,,,3.8 ,- ,- ,7.1 ,- ,,3.4 ,- ,- ,- ,,,4.5 ,100 ,,,,,
Genève,18.0 ,14.6 ,18.6 ,- ,18.1 ,- ,- ,- ,,,8.7 ,- ,- ,11.5 ,- ,,1.1 ,6.9 ,- ,- ,,,2.5 ,100 ,,,,,
Jura,33.4 ,33.0 ,25.5 ,- ,- ,- ,- ,8.1 ,,,- ,- ,- ,- ,- ,,- ,- ,- ,- ,,,- ,100 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voir le glossaire pour les désignations complètes des partis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1) Election tacite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Office fédéral de la statistique, Statistique des élections au Conseil national",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renseignements:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poku@bfs.admin.ch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
058 463 61 58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© OFS - Encyclopédie statistique de la Suisse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
