Elections au Conseil national de 1975: force des partis par canton,,,,,,,,,,,,,,,,,,,,,,,,T 17.2.3.3.2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'  ','  'PRD,'  'PDC,'  'PS,'  'UDC,'  'PLS,'  'AdI,'  'PEV,'  'PCS,'  'PVL,'  'PBD,'  'PST,'  'PSA,'  'POCH,'  'PES,'  'AVF,'  'Sol.,'  'DS,'  'Rép. 1),'  'UDF,'  'PSL,'  'Lega,'  ','  'Autres,'  'Total,,,,,
Bâle-Campagne,23.9 ,13.3 ,30.3 ,10.7 ,- ,11.2 ,- ,- ,,,1.8 ,- ,3.3 ,- ,,,5.6 ,- ,- ,,,,- ,100 ,,,,,
Schaffhouse,40.1 ,,37.2 ,- ,- ,16.6 ,- ,- ,,,- ,- ,6.1 ,- ,,,- ,- ,- ,,,,- ,100 ,,,,,
Appenzell Rh.-Ext.,45.8 ,14.1 ,40.1 ,- ,- ,- ,- ,- ,,,- ,- ,- ,- ,,,- ,- ,- ,,,,- ,100 ,,,,,
Appenzell Rh.-Int.,- ,98.3 ,- ,- ,- ,- ,- ,- ,,,- ,- ,- ,- ,,,- ,- ,- ,,,,1.7 ,100 ,,,,,
Saint-Gall,25.1 ,43.3 ,15.1 ,- ,- ,8.0 ,- ,- ,,,0.4 ,- ,0.5 ,- ,,,2.2 ,5.4 ,- ,,,,- ,100 ,,,,,
Grisons,18.1 ,35.9 ,15.2 ,26.9 ,- ,- ,- ,- ,,,- ,- ,- ,- ,,,3.5 ,- ,- ,,,,0.3 ,100 ,,,,,
Argovie,17.7 ,20.6 ,24.2 ,12.8 ,- ,6.6 ,4.6 ,- ,,,- ,- ,0.6 ,- ,,,3.5 ,6.5 ,- ,,,,2.9 ,100 ,,,,,
Thurgovie,14.4 ,22.3 ,21.6 ,25.1 ,- ,6.6 ,- ,- ,,,- ,- ,- ,- ,,,2.5 ,7.6 ,- ,,,,- ,100 ,,,,,
Tessin,39.1 ,35.7 ,13.9 ,- ,- ,- ,- ,- ,,,3.6 ,7.6 ,- ,- ,,,- ,- ,- ,,,,0.2 ,100 ,,,,,
Vaud,25.6 ,4.6 ,27.6 ,8.0 ,13.6 ,1.6 ,- ,- ,,,10.7 ,- ,- ,1.0 ,,,1.6 ,3.1 ,1.0 ,,,,1.6 ,100 ,,,,,
Valais,18.9 ,59.7 ,17.4 ,- ,- ,- ,- ,- ,,,- ,- ,- ,- ,,,- ,- ,- ,,,,4.0 ,100 ,,,,,
Neuchâtel,22.4 ,,38.9 ,- ,22.1 ,- ,- ,- ,,,9.8 ,- ,- ,- ,,,- ,- ,- ,,,,6.8 ,100 ,,,,,
Genève,16.6 ,14.7 ,22.6 ,- ,16.0 ,2.4 ,- ,- ,,,18.0 ,- ,- ,- ,,,1.7 ,6.9 ,- ,,,,1.1 ,100 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voir le glossaire pour les désignations complètes des partis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1) Y compris Vigilance/GE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Office fédéral de la statistique, Statistique des élections au Conseil national",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renseignements:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poku@bfs.admin.ch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
058 463 61 58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© OFS - Encyclopédie statistique de la Suisse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
