Elections au Conseil national de 1979: force des partis par canton,,,,,,,,,,,,,,,,,,,,,,,,T 17.2.3.3.2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'  ','  'PRD,'  'PDC,'  'PS,'  'UDC,'  'PLS,'  'AdI,'  'PEV,'  'PCS,'  'PVL,'  'PBD,'  'PST,'  'PSA,'  'POCH,'  'PES,'  'AVF,'  'Sol.,'  'DS,'  'Rép. 2),'  'UDF,'  'PSL,'  'Lega,'  ','  'Autres,'  'Total,,,,,
Bâle-Campagne,26.7 ,11.5 ,31.4 ,10.6 ,- ,7.8 ,3.9 ,,,,1.0 ,- ,7.1 ,- ,- ,,- ,- ,- ,,,,- ,100 ,,,,,
Schaffhouse,32.3 ,- ,35.3 ,21.1 ,- ,- ,6.3 ,,,,- ,- ,4.1 ,- ,- ,,- ,- ,- ,,,,0.9 ,100 ,,,,,
Appenzell Rh.-Ext. 1),*,*,*,*,*,*,*,,,,*,*,*,*,*,,*,*,*,,,,*,*,,,,,
Appenzell Rh.-Int.,- ,97.2 ,- ,- ,- ,- ,- ,,,,- ,- ,- ,- ,- ,,- ,- ,- ,,,,2.8 ,100 ,,,,,
Saint-Gall,27.6 ,44.1 ,18.0 ,- ,- ,8.2 ,2.1 ,,,,- ,- ,- ,- ,- ,,- ,- ,- ,,,,- ,100 ,,,,,
Grisons,22.9 ,35.5 ,20.5 ,21.1 ,- ,- ,- ,,,,- ,- ,- ,- ,- ,,- ,- ,- ,,,,- ,100 ,,,,,
Argovie,20.5 ,22.5 ,27.6 ,13.9 ,- ,5.5 ,5.0 ,,,,- ,- ,- ,- ,- ,,1.6 ,2.1 ,- ,,,,1.1 ,100 ,,,,,
Thurgovie,16.9 ,24.6 ,22.4 ,26.4 ,- ,5.3 ,- ,,,,- ,- ,- ,- ,- ,,1.9 ,2.0 ,- ,,,,0.4 ,100 ,,,,,
Tessin,36.3 ,34.1 ,15.2 ,2.3 ,- ,- ,- ,,,,2.7 ,9.4 ,- ,- ,- ,,- ,- ,- ,,,,- ,100 ,,,,,
Vaud,27.1 ,5.1 ,24.9 ,6.8 ,16.7 ,0.8 ,- ,,,,9.3 ,- ,- ,6.4 ,- ,,- ,- ,- ,,,,2.9 ,100 ,,,,,
Valais,22.7 ,58.8 ,11.6 ,- ,0.8 ,- ,- ,,,,- ,- ,- ,- ,- ,,- ,- ,- ,,,,6.2 ,100 ,,,,,
Neuchâtel,20.6 ,- ,37.4 ,- ,26.4 ,4.8 ,- ,,,,7.7 ,- ,- ,- ,- ,,- ,- ,- ,,,,3.1 ,100 ,,,,,
Genève,14.7 ,14.0 ,21.5 ,- ,21.3 ,- ,- ,,,,19.9 ,- ,- ,- ,- ,,0.6 ,6.5 ,- ,,,,1.5 ,100 ,,,,,
Jura,30.9 ,37.7 ,- ,- ,- ,- ,- ,,,,- ,- ,- ,- ,- ,,- ,- ,- ,,,,31.4 ,100 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voir le glossaire pour les désignations complètes des partis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1) Election tacite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) Y compris Vigilance/GE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Office fédéral de la statistique, Statistique des élections au Conseil national",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renseignements:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poku@bfs.admin.ch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
058 463 61 58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© OFS - Encyclopédie statistique de la Suisse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
